"analysis_ID","sample_label","soil_wt_g","pH","specific_conductance_ms_cm","date_run","initials","...8"
"target",,"1.5",,"NULL",,,"NULL"
"pH 7 Buffer",,,"7","NULL","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0001","COMPASS_Dec2021_001",,"5.5","0.17","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0002","COMPASS_Dec2021_002",,"5.9","0.1","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0003","COMPASS_Dec2021_003",,"5.9","0.09","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0004","COMPASS_Dec2021_004",,"6.6","0.08","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0005","COMPASS_Dec2021_005",,"6.5","0.09","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0006","COMPASS_Dec2021_006",,"6.2","0.11","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0007","COMPASS_Dec2021_007",,"5.4","0.14","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0008","COMPASS_Dec2021_008",,"6.4","0.13","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0009","COMPASS_Dec2021_009",,"5.7","0.13","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0010","COMPASS_Dec2021_010",,"6.4","0.15","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0011","COMPASS_Dec2021_011",,"6.7","0.13","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0012","COMPASS_Dec2021_012",,"6.7","0.09","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0013","COMPASS_Dec2021_013",,"6.4","0.13","2022-06-28","DF & JM","NULL"
"pH 7 Buffer","pH 7 Buffer",,"7","NULL","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0014","COMPASS_Dec2021_014",,"6.2","0.08","2022-06-28","DF & JM","NULL"
"PH_CMPS_KFP_0015","COMPASS_Dec2021_015",,"5.6","0.07","2022-06-28","DF & JM","NULL"
